,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
2,12348.0,222.16,1,2010-09-27 14:59:00,74,3,2.2216
4,12351.0,300.93,1,2010-11-29 15:23:00,11,3,3.0093
5,12352.0,343.8,2,2010-11-29 10:07:00,11,3,3.438
6,12353.0,317.76,1,2010-10-27 12:44:00,44,3,3.1776
13,12361.0,321.35,3,2010-09-03 15:19:00,98,3,3.2135000000000002
22,12376.0,503.15,2,2010-11-15 12:15:00,25,3,5.031499999999999
25,12379.0,767.98,2,2010-10-13 14:46:00,58,3,7.6798
28,12386.0,258.9,1,2010-12-08 09:53:00,2,3,2.589
29,12387.0,143.94,1,2010-10-20 16:27:00,51,3,1.4394
30,12388.0,1120.45,2,2010-09-20 12:41:00,81,3,11.204500000000001
34,12393.0,816.85,2,2010-11-22 16:10:00,18,3,8.1685
38,12400.0,205.25,1,2010-10-21 13:45:00,50,3,2.0525
45,12410.0,320.38,1,2010-07-25 13:26:00,138,3,3.2037999999999998
46,12411.0,346.9,1,2010-10-26 09:25:00,45,3,3.469
48,12413.0,241.35,1,2010-11-02 13:26:00,38,3,2.4135
49,12414.0,390.0,3,2010-09-02 13:47:00,99,3,3.9
54,12419.0,503.01,2,2010-11-19 10:04:00,21,3,5.0301
55,12421.0,291.56,2,2010-10-20 14:28:00,51,3,2.9156
57,12423.0,763.08,2,2010-11-17 11:33:00,23,3,7.630800000000001
59,12425.0,964.21,1,2010-09-17 14:10:00,84,3,9.642100000000001
61,12427.0,303.5,1,2010-12-03 10:44:00,7,3,3.035
65,12434.0,297.29,1,2010-11-23 13:38:00,17,3,2.9729
69,12440.0,859.2,2,2010-09-03 13:11:00,98,3,8.592
70,12441.0,173.55,1,2010-12-08 10:45:00,2,3,1.7355
72,12445.0,301.58000000000004,1,2010-10-15 12:28:00,56,3,3.0158000000000005
73,12449.0,768.6,2,2010-10-25 12:21:00,46,3,7.686
74,12450.0,490.32,3,2010-11-05 16:27:00,35,3,4.9032
78,12457.0,632.68,1,2010-09-30 17:59:00,71,3,6.3267999999999995
79,12458.0,830.09,2,2010-10-08 11:36:00,63,3,8.3009
81,12460.0,326.65,1,2010-09-09 13:51:00,92,3,3.2664999999999997
83,12467.0,132.8,1,2010-10-12 15:41:00,59,3,1.328
90,12475.0,426.26,1,2010-10-26 08:49:00,45,3,4.2626
99,12486.0,1037.28,1,2010-10-04 12:14:00,67,3,10.3728
102,12492.0,452.0,1,2010-11-01 14:58:00,39,3,4.52
103,12494.0,626.77,3,2010-12-09 11:31:00,1,3,6.2677
110,12504.0,297.0,2,2010-10-18 15:09:00,53,3,2.97
111,12505.0,955.2,1,2010-10-27 09:18:00,44,3,9.552
117,12519.0,385.7,1,2010-08-20 08:21:00,112,3,3.8569999999999998
121,12527.0,386.8,2,2010-08-02 12:23:00,130,3,3.8680000000000003
126,12537.0,732.94,1,2010-10-27 08:36:00,44,3,7.329400000000001
127,12538.0,276.5,1,2010-11-26 13:02:00,14,3,2.765
130,12542.0,481.88,2,2010-08-12 19:12:00,120,3,4.8187999999999995
131,12543.0,980.25,1,2010-09-17 15:51:00,84,3,9.8025
132,12547.0,175.78,1,2010-07-27 13:55:00,136,3,1.7578
134,12553.0,916.47,2,2010-11-19 12:18:00,21,3,9.1647
135,12554.0,468.5,1,2010-09-17 12:29:00,84,3,4.685
139,12563.0,249.24,1,2010-10-27 09:52:00,44,3,2.4924
144,12575.0,622.8199999999999,2,2010-09-08 13:09:00,93,3,6.228199999999999
152,12588.0,743.88,3,2010-11-05 12:53:00,35,3,7.4388
154,12591.0,899.3,2,2010-11-14 14:32:00,26,3,8.993
157,12595.0,299.02,1,2010-07-23 09:10:00,140,3,2.9901999999999997
161,12601.0,104.19999999999999,1,2010-10-31 10:57:00,40,3,1.0419999999999998
164,12608.0,415.79,1,2010-10-31 10:49:00,40,3,4.157900000000001
