,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
0,12346.0,372.86,11,2010-06-28 13:53:00,165,1,3.7286
1,12347.0,1323.32,2,2010-12-07 14:57:00,3,1,13.2332
12,12360.0,1590.83,5,2010-11-25 11:04:00,15,1,15.908299999999999
17,12369.0,1791.15,3,2010-10-22 13:13:00,49,1,17.9115
19,12371.0,2179.42,3,2010-10-26 13:37:00,45,1,21.7942
21,12374.0,2246.29,3,2010-10-14 13:31:00,57,1,22.4629
23,12377.0,1798.2,2,2010-11-23 19:24:00,17,1,17.982
27,12385.0,1938.4,1,2010-11-25 15:14:00,15,1,19.384
31,12389.0,1433.33,3,2010-11-02 11:52:00,38,1,14.3333
35,12395.0,2048.64,4,2010-12-03 16:35:00,7,1,20.4864
37,12399.0,853.65,3,2010-11-19 08:53:00,21,1,8.5365
39,12402.0,1031.3,5,2010-11-12 09:50:00,28,1,10.312999999999999
43,12408.0,1452.22,3,2010-11-19 13:21:00,21,1,14.5222
47,12412.0,1370.05,3,2010-11-02 17:02:00,38,1,13.7005
53,12418.0,1352.62,3,2010-10-22 10:29:00,49,1,13.5262
58,12424.0,1579.07,2,2010-10-13 10:29:00,58,1,15.7907
93,12480.0,2183.2200000000003,3,2010-11-05 15:08:00,35,1,21.832200000000004
97,12484.0,1828.43,6,2010-08-13 13:45:00,119,1,18.2843
114,12511.0,3084.02,1,2010-10-07 10:39:00,64,1,30.8402
116,12516.0,1336.56,2,2010-10-05 09:43:00,66,1,13.365599999999999
120,12525.0,973.73,3,2010-07-29 16:08:00,134,1,9.7373
133,12549.0,1575.68,6,2010-05-13 12:05:00,211,1,15.7568
138,12562.0,1185.18,2,2010-11-19 09:35:00,21,1,11.8518
143,12573.0,556.87,4,2010-11-23 13:01:00,17,1,5.5687
145,12576.0,826.89,3,2010-11-12 12:44:00,28,1,8.2689
146,12577.0,995.9499999999999,5,2010-11-23 14:06:00,17,1,9.959499999999998
147,12578.0,1847.94,2,2010-11-19 17:21:00,21,1,18.479400000000002
149,12582.0,1469.04,2,2010-10-13 10:52:00,58,1,14.6904
151,12586.0,1865.73,3,2010-11-30 10:47:00,10,1,18.6573
155,12592.0,2145.06,3,2010-07-08 14:26:00,155,1,21.450599999999998
156,12594.0,1751.89,5,2010-11-26 12:17:00,14,1,17.518900000000002
158,12598.0,1511.01,3,2010-09-02 14:22:00,99,1,15.1101
159,12599.0,1264.14,6,2010-11-23 15:49:00,17,1,12.6414
162,12605.0,1232.95,4,2010-11-28 14:18:00,12,1,12.329500000000001
172,12625.0,2481.06,2,2010-07-18 15:56:00,145,1,24.8106
173,12629.0,1558.22,2,2010-11-19 09:18:00,21,1,15.5822
178,12635.0,1241.23,2,2010-11-12 15:46:00,28,1,12.4123
180,12637.0,2318.41,4,2010-11-26 13:50:00,14,1,23.184099999999997
184,12644.0,1440.58,3,2010-10-05 10:23:00,66,1,14.4058
185,12645.0,1764.12,4,2010-10-26 18:44:00,45,1,17.641199999999998
188,12649.0,1671.1399999999999,5,2010-11-22 12:57:00,18,1,16.711399999999998
191,12653.0,1950.98,1,2010-07-01 09:56:00,162,1,19.5098
193,12656.0,2356.66,3,2010-10-10 10:43:00,61,1,23.566599999999998
197,12664.0,1188.16,2,2010-07-13 13:28:00,150,1,11.8816
202,12671.0,2622.481,1,2010-04-12 16:30:00,242,1,26.22481
206,12676.0,1511.7,5,2010-10-27 09:36:00,44,1,15.117
213,12687.0,2138.91,2,2010-08-16 12:12:00,116,1,21.3891
216,12693.0,847.11,3,2010-11-08 14:57:00,32,1,8.4711
222,12701.0,1648.7,4,2010-06-28 13:44:00,165,1,16.487000000000002
232,12721.0,1356.95,2,2010-11-19 15:13:00,21,1,13.5695
233,12724.0,1286.11,3,2010-11-21 13:26:00,19,1,12.861099999999999
234,12725.0,2266.76,4,2010-12-03 15:45:00,7,1,22.667600000000004
235,12726.0,1405.5,4,2010-11-17 16:59:00,23,1,14.055
236,12727.0,1698.8300000000002,3,2010-09-23 10:45:00,78,1,16.988300000000002
240,12733.0,2040.92,3,2010-11-15 13:56:00,25,1,20.409200000000002
244,12739.0,1713.69,2,2010-11-19 09:42:00,21,1,17.1369
248,12745.0,925.41,3,2010-08-10 10:14:00,122,1,9.2541
260,12765.0,1404.58,6,2010-08-24 13:51:00,108,1,14.0458
264,12770.0,1895.0,1,2010-09-09 11:43:00,92,1,18.95
271,12778.0,953.45,3,2010-11-08 10:51:00,32,1,9.534500000000001
282,12791.0,863.51,6,2010-12-01 11:27:00,9,1,8.6351
287,12798.0,1533.8899999999999,1,2010-10-14 12:27:00,57,1,15.338899999999999
294,12805.0,1434.95,4,2010-11-23 12:27:00,17,1,14.3495
301,12813.0,1687.8,3,2010-07-26 09:50:00,137,1,16.878
308,12826.0,1481.03,6,2010-12-09 15:21:00,1,1,14.8103
316,12840.0,1315.2,3,2010-09-28 17:58:00,73,1,13.152000000000001
324,12849.0,2039.67,4,2010-11-23 11:41:00,17,1,20.3967
327,12853.0,1950.4,5,2010-10-08 14:51:00,63,1,19.504
328,12854.0,1669.52,4,2010-05-27 16:54:00,197,1,16.6952
329,12855.0,612.84,4,2010-12-02 09:37:00,8,1,6.1284
338,12865.0,1755.24,2,2010-11-26 15:37:00,14,1,17.5524
343,12870.0,1676.95,3,2010-11-29 13:42:00,11,1,16.7695
346,12873.0,1653.3,2,2010-11-07 11:15:00,33,1,16.533
348,12875.0,1013.76,3,2010-08-25 14:35:00,107,1,10.137599999999999
349,12876.0,1863.77,2,2010-11-10 12:21:00,30,1,18.6377
355,12891.0,509.5,8,2010-09-07 15:31:00,94,1,5.095
365,12908.0,1026.0,3,2010-11-24 09:29:00,16,1,10.26
366,12909.0,924.52,3,2010-10-11 09:44:00,60,1,9.2452
372,12916.0,1647.87,3,2010-09-23 11:57:00,78,1,16.4787
380,12926.0,1548.46,4,2010-10-24 15:57:00,47,1,15.4846
385,12933.0,1079.5,5,2010-11-24 17:11:00,16,1,10.795
