,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
9,12357.0,12079.99,2,2010-11-16 14:29:00,24,4,120.7999
26,12380.0,6951.49,7,2010-08-31 14:54:00,101,4,69.5149
44,12409.0,12346.619999999999,4,2010-10-15 10:24:00,56,4,123.46619999999999
50,12415.0,19543.84,7,2010-11-29 15:07:00,11,4,195.4384
64,12433.0,7205.39,5,2010-12-08 16:49:00,2,4,72.0539
66,12435.0,6096.04,4,2010-11-08 10:07:00,32,4,60.9604
76,12454.0,13151.44,4,2010-11-09 10:09:00,31,4,131.5144
92,12477.0,7056.63,3,2010-11-05 09:35:00,35,4,70.5663
94,12481.0,6765.07,6,2010-12-09 10:13:00,1,4,67.6507
101,12490.0,4405.71,11,2010-11-26 14:16:00,14,4,44.0571
106,12497.0,5205.400000000001,2,2010-11-04 12:31:00,36,4,52.054
113,12510.0,4195.45,7,2010-09-06 14:27:00,95,4,41.954499999999996
119,12524.0,6640.39,9,2010-11-16 09:08:00,24,4,66.40390000000001
128,12539.0,5646.400000000001,3,2010-09-15 09:50:00,86,4,56.464000000000006
137,12557.0,6725.18,4,2010-12-03 12:20:00,7,4,67.2518
140,12567.0,4308.58,7,2010-12-07 10:36:00,3,4,43.0858
153,12589.0,4048.98,6,2010-10-14 11:54:00,57,4,40.4898
183,12643.0,5005.78,6,2010-11-19 12:42:00,21,4,50.0578
200,12668.0,7637.53,6,2010-11-26 11:48:00,14,4,76.3753
208,12678.0,16652.72,9,2010-11-29 09:55:00,11,4,166.52720000000002
211,12683.0,4220.21,8,2010-12-09 12:17:00,1,4,42.2021
224,12705.0,4893.81,5,2010-11-21 13:59:00,19,4,48.938100000000006
229,12714.0,9384.85,7,2010-11-16 18:10:00,24,4,93.8485
239,12731.0,6879.8,5,2010-09-23 15:12:00,78,4,68.798
247,12744.0,4037.77,4,2010-09-06 10:24:00,95,4,40.3777
254,12755.0,5218.709999999999,10,2010-12-09 10:44:00,1,4,52.187099999999994
255,12758.0,7111.650000000001,5,2010-09-06 13:02:00,95,4,71.1165
312,12836.0,3972.76,11,2010-11-15 16:22:00,25,4,39.7276
340,12867.0,3876.47,6,2010-11-07 15:31:00,33,4,38.7647
369,12913.0,4217.2300000000005,9,2010-12-06 16:36:00,4,4,42.17230000000001
374,12918.0,10953.5,1,2010-03-23 15:22:00,262,4,109.535
402,12957.0,4689.43,5,2010-06-16 08:55:00,177,4,46.8943
470,13044.0,4293.43,10,2010-08-04 16:27:00,128,4,42.9343
543,13137.0,4062.29,8,2010-11-18 13:27:00,22,4,40.6229
558,13157.0,3946.14,5,2010-10-26 14:42:00,45,4,39.4614
571,13174.0,6677.81,10,2010-12-05 16:24:00,5,4,66.77810000000001
574,13178.0,8333.72,10,2010-11-07 15:50:00,33,4,83.3372
607,13225.0,9796.23,9,2010-10-14 16:26:00,57,4,97.9623
674,13316.0,7213.84,6,2010-11-12 10:14:00,28,4,72.1384
681,13329.0,4323.97,7,2010-12-08 10:11:00,2,4,43.2397
688,13340.0,11364.08,5,2010-10-18 10:42:00,53,4,113.6408
701,13373.0,4274.94,3,2010-10-20 10:09:00,51,4,42.749399999999994
706,13381.0,4585.06,6,2010-11-25 13:30:00,15,4,45.85060000000001
715,13394.0,4101.68,11,2010-11-25 18:08:00,15,4,41.0168
755,13446.0,3881.89,11,2010-10-05 18:51:00,66,4,38.8189
756,13448.0,5701.5,9,2010-12-01 10:53:00,9,4,57.015
758,13451.0,4214.77,6,2010-11-23 14:50:00,17,4,42.14770000000001
786,13488.0,6619.57,11,2010-12-07 13:01:00,3,4,66.1957
833,13555.0,4849.91,9,2010-11-26 11:50:00,14,4,48.4991
847,13576.0,4834.400000000001,11,2010-12-01 17:24:00,9,4,48.34400000000001
881,13615.0,5854.84,7,2010-11-05 13:42:00,35,4,58.5484
893,13629.0,5578.5,8,2010-10-22 09:48:00,49,4,55.785
929,13680.0,7713.25,8,2010-08-25 13:05:00,107,4,77.1325
933,13687.0,11880.84,1,2010-09-27 16:30:00,74,4,118.8084
968,13734.0,6701.640000000001,4,2010-07-19 12:04:00,144,4,67.01640000000002
969,13735.0,6927.9800000000005,9,2010-11-28 13:43:00,12,4,69.27980000000001
982,13756.0,4017.9800000000005,10,2010-12-07 11:41:00,3,4,40.17980000000001
984,13758.0,6226.43,10,2010-12-08 15:39:00,2,4,62.264300000000006
1066,13869.0,5006.62,6,2010-11-23 13:36:00,17,4,50.0662
1078,13883.0,3885.54,10,2010-11-01 14:45:00,39,4,38.8554
1091,13902.0,34095.26,5,2010-03-17 13:09:00,268,4,340.9526
1108,13931.0,4019.85,9,2010-11-12 12:12:00,28,4,40.198499999999996
1109,13935.0,6116.92,3,2010-04-22 11:21:00,232,4,61.169200000000004
1113,13941.0,6009.34,11,2010-12-02 10:17:00,8,4,60.0934
1124,13958.0,4709.2300000000005,8,2010-11-25 10:11:00,15,4,47.0923
1145,13983.0,4505.02,10,2010-12-08 10:38:00,2,4,45.050200000000004
1170,14016.0,7062.2,7,2010-11-08 15:42:00,32,4,70.622
1177,14025.0,4057.9,8,2010-09-01 10:11:00,100,4,40.579
1179,14028.0,10396.5,3,2010-06-07 13:33:00,186,4,103.965
1195,14049.0,7557.3099999999995,9,2010-11-17 10:44:00,23,4,75.5731
1205,14063.0,22710.2,9,2010-09-27 16:18:00,74,4,227.102
1218,14081.0,4435.58,9,2010-12-05 15:47:00,5,4,44.3558
1225,14088.0,13544.99,3,2010-10-29 10:31:00,42,4,135.44989999999999
1226,14091.0,9530.08,2,2010-02-23 15:17:00,290,4,95.3008
1232,14101.0,3985.14,7,2010-11-16 14:54:00,24,4,39.8514
1235,14105.0,4722.6,4,2010-10-27 11:53:00,44,4,47.226000000000006
1256,14135.0,4953.61,11,2010-12-07 12:37:00,3,4,49.5361
1262,14145.0,3857.85,3,2010-09-06 09:53:00,95,4,38.5785
1263,14146.0,5259.3,7,2010-11-21 15:55:00,19,4,52.593
1269,14154.0,5115.08,6,2010-11-23 17:53:00,17,4,51.1508
1273,14160.0,8421.47,7,2010-04-08 14:30:00,246,4,84.2147
1284,14175.0,4456.58,5,2010-10-17 13:59:00,54,4,44.565799999999996
1313,14210.0,3955.6800000000003,11,2010-12-03 12:43:00,7,4,39.5568
1339,14243.0,4842.28,8,2010-12-09 08:34:00,1,4,48.422799999999995
1363,14277.0,13009.61,6,2010-10-24 12:44:00,47,4,130.0961
1367,14282.0,4120.32,11,2010-12-07 12:21:00,3,4,41.203199999999995
1371,14286.0,3851.0099999999998,4,2010-10-31 15:39:00,40,4,38.510099999999994
1374,14292.0,4354.32,7,2010-10-25 12:18:00,46,4,43.5432
1405,14329.0,4912.38,8,2010-11-29 15:53:00,11,4,49.1238
1459,14415.0,6191.32,10,2010-11-25 13:51:00,15,4,61.913199999999996
1467,14426.0,7246.27,7,2010-11-01 16:24:00,39,4,72.4627
1476,14439.0,6781.8,4,2010-09-22 14:47:00,79,4,67.818
1477,14440.0,4281.05,9,2010-12-09 12:49:00,1,4,42.810500000000005
1494,14461.0,4610.44,10,2010-11-22 12:33:00,18,4,46.1044
1529,14505.0,6096.2,11,2010-10-31 16:16:00,40,4,60.961999999999996
1544,14525.0,3908.44,8,2010-10-07 19:03:00,64,4,39.0844
1608,14607.0,7568.13,8,2010-08-29 13:35:00,103,4,75.68130000000001
1661,14676.0,5808.55,6,2010-11-10 12:32:00,30,4,58.0855
1670,14685.0,4619.79,8,2010-05-12 13:08:00,212,4,46.1979
1707,14733.0,6599.06,4,2010-12-07 11:30:00,3,4,65.9906
1732,14766.0,4082.76,6,2010-12-08 15:33:00,2,4,40.827600000000004
1734,14769.0,5097.13,9,2010-11-14 13:39:00,26,4,50.9713
1776,14828.0,7699.7,10,2010-11-16 17:23:00,24,4,76.997
1787,14841.0,3867.2400000000002,8,2010-11-30 13:01:00,10,4,38.6724
1800,14855.0,5874.65,5,2010-08-22 13:37:00,110,4,58.7465
1806,14866.0,6460.32,8,2010-12-08 14:58:00,2,4,64.6032
1848,14918.0,4345.66,7,2010-10-31 12:41:00,40,4,43.4566
1862,14936.0,4273.79,4,2010-11-14 11:32:00,26,4,42.737899999999996
1868,14944.0,3884.42,7,2010-11-15 10:46:00,25,4,38.8442
1925,15023.0,5367.92,10,2010-12-05 13:49:00,5,4,53.6792
1934,15032.0,8821.55,7,2010-12-08 13:30:00,2,4,88.21549999999999
1935,15034.0,4004.79,6,2010-11-18 14:07:00,22,4,40.0479
1995,15125.0,5496.39,9,2010-08-17 09:54:00,115,4,54.9639
2033,15179.0,5284.97,8,2010-11-12 15:35:00,28,4,52.849700000000006
2052,15202.0,6001.49,3,2010-10-15 13:05:00,56,4,60.0149
2063,15218.0,5759.68,11,2010-11-15 11:39:00,25,4,57.5968
2086,15251.0,9839.55,10,2010-10-21 14:29:00,50,4,98.3955
2111,15281.0,6211.42,7,2010-11-26 16:31:00,14,4,62.114200000000004
2124,15296.0,6669.97,6,2010-10-15 09:33:00,56,4,66.6997
2139,15321.0,3961.42,9,2010-09-28 18:11:00,73,4,39.614200000000004
2148,15332.0,4892.68,6,2010-12-08 14:43:00,2,4,48.9268
2172,15369.0,6251.26,11,2010-08-04 13:54:00,128,4,62.5126
2175,15372.0,4009.66,7,2010-09-15 14:52:00,86,4,40.096599999999995
2184,15382.0,7777.84,6,2010-11-30 09:46:00,10,4,77.7784
2204,15413.0,6798.72,5,2010-01-17 11:33:00,327,4,67.9872
2248,15480.0,5373.5,4,2010-08-31 11:04:00,101,4,53.735
2263,15497.0,7395.19,7,2010-11-22 13:15:00,18,4,73.9519
2278,15521.0,4106.49,8,2010-11-04 18:40:00,36,4,41.064899999999994
2349,15622.0,4143.05,8,2010-10-08 14:35:00,63,4,41.4305
2386,15674.0,4501.63,8,2010-10-18 12:46:00,53,4,45.0163
2425,15727.0,4266.55,8,2010-11-17 13:49:00,23,4,42.6655
2446,15760.0,13916.34,2,2010-03-19 11:45:00,266,4,139.1634
2492,15823.0,3882.17,3,2010-12-02 15:08:00,8,4,38.8217
2585,15950.0,5415.2,6,2010-11-29 17:00:00,11,4,54.152
2589,15955.0,4242.1,9,2010-12-02 11:22:00,8,4,42.42100000000001
2610,15980.0,4194.82,4,2010-08-06 12:35:00,126,4,41.9482
2626,15998.0,5218.37,11,2010-11-11 16:27:00,29,4,52.1837
2714,16118.0,4376.25,1,2010-02-25 09:40:00,288,4,43.7625
2721,16126.0,8359.03,11,2010-11-25 13:41:00,15,4,83.59030000000001
2726,16131.0,6450.88,6,2010-11-29 13:20:00,11,4,64.50880000000001
2762,16180.0,5995.69,5,2010-08-18 16:18:00,114,4,59.9569
2769,16191.0,10507.5,11,2010-11-29 11:45:00,11,4,105.075
2778,16200.0,4562.83,10,2010-11-22 11:57:00,18,4,45.628299999999996
2811,16242.0,3871.19,7,2010-11-23 16:41:00,17,4,38.7119
2821,16258.0,6739.01,10,2010-11-17 11:48:00,23,4,67.3901
2838,16279.0,4195.5,6,2010-11-19 11:48:00,21,4,41.955
2870,16320.0,4590.53,4,2010-09-12 13:51:00,89,4,45.9053
2875,16327.0,6887.12,11,2010-12-05 12:43:00,5,4,68.8712
2972,16456.0,4704.54,9,2010-12-01 14:11:00,9,4,47.0454
3033,16546.0,4819.32,4,2010-12-02 12:07:00,8,4,48.1932
3043,16556.0,4698.79,10,2010-11-29 16:25:00,11,4,46.987899999999996
3109,16652.0,10776.42,9,2010-10-31 15:33:00,40,4,107.7642
3121,16670.0,3934.25,9,2010-11-11 17:07:00,29,4,39.3425
3146,16709.0,6057.59,9,2010-11-25 12:28:00,15,4,60.575900000000004
3158,16722.0,4258.2699999999995,11,2010-12-08 15:38:00,2,4,42.582699999999996
3167,16735.0,3970.0,9,2010-11-11 15:25:00,29,4,39.7
3177,16749.0,4387.08,2,2010-04-27 13:06:00,227,4,43.8708
3239,16839.0,5716.14,11,2010-12-05 11:15:00,5,4,57.1614
3251,16858.0,4292.59,10,2010-12-06 09:52:00,4,4,42.9259
3263,16873.0,7493.77,6,2010-10-06 15:34:00,65,4,74.9377
3313,16938.0,4306.8,5,2010-11-23 13:01:00,17,4,43.068000000000005
3325,16954.0,3996.7999999999997,11,2010-11-25 14:57:00,15,4,39.967999999999996
3342,16984.0,6273.45,7,2010-10-31 16:26:00,40,4,62.7345
3349,16992.0,3862.19,8,2010-11-17 15:21:00,23,4,38.621900000000004
3389,17044.0,11013.82,11,2010-11-30 10:48:00,10,4,110.1382
3394,17049.0,4287.5,10,2010-11-29 13:00:00,11,4,42.875
3424,17091.0,3983.34,11,2010-12-07 09:55:00,3,4,39.833400000000005
3437,17107.0,5259.99,4,2010-11-07 13:50:00,33,4,52.5999
3453,17133.0,9730.09,5,2010-08-22 13:58:00,110,4,97.3009
3458,17138.0,4036.77,6,2010-11-15 13:15:00,25,4,40.3677
3464,17146.0,5110.46,10,2010-09-30 10:24:00,71,4,51.1046
3475,17160.0,6691.13,11,2010-11-30 17:43:00,10,4,66.9113
3510,17204.0,3940.13,5,2010-11-30 17:58:00,10,4,39.4013
3533,17230.0,6286.54,10,2010-05-25 11:07:00,199,4,62.8654
3593,17307.0,3999.8900000000003,11,2010-11-09 13:40:00,31,4,39.998900000000006
3594,17308.0,4511.76,2,2010-11-11 13:19:00,29,4,45.1176
3618,17338.0,5498.64,9,2010-11-29 16:13:00,11,4,54.9864
3620,17340.0,10051.53,8,2010-12-08 15:56:00,2,4,100.51530000000001
3673,17404.0,15874.3,8,2010-10-26 15:48:00,45,4,158.743
3677,17409.0,7021.66,8,2010-10-14 10:10:00,57,4,70.2166
3706,17450.0,52422.3,7,2010-12-07 09:43:00,3,4,524.2230000000001
3709,17457.0,4247.11,9,2010-11-25 13:05:00,15,4,42.4711
3742,17504.0,6568.09,9,2010-11-24 09:49:00,16,4,65.68090000000001
3744,17508.0,4191.92,7,2010-11-23 12:22:00,17,4,41.919200000000004
3800,17584.0,4067.12,4,2010-08-29 12:43:00,103,4,40.6712
