,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
7,12355.0,488.21000000000004,1,2010-05-21 11:59:00,203,0,4.8821
14,12362.0,130.0,1,2009-12-01 10:10:00,374,0,1.3
15,12366.0,500.24,1,2010-03-16 10:28:00,269,0,5.0024
16,12368.0,917.6999999999999,1,2010-03-21 15:56:00,264,0,9.177
18,12370.0,774.62,3,2010-03-25 12:10:00,260,0,7.7462
20,12373.0,763.0500000000001,2,2010-03-25 13:49:00,260,0,7.6305000000000005
24,12378.0,1407.7,1,2010-05-26 14:07:00,198,0,14.077
33,12392.0,234.75000000000003,1,2010-04-27 14:04:00,227,0,2.3475
36,12396.0,931.43,1,2010-02-03 13:22:00,310,0,9.3143
40,12403.0,591.6600000000001,1,2010-07-06 11:39:00,157,0,5.916600000000001
41,12404.0,63.24,1,2010-01-26 16:25:00,318,0,0.6324000000000001
51,12416.0,202.56,1,2010-02-21 10:19:00,292,0,2.0256
60,12426.0,762.48,1,2010-02-15 08:41:00,298,0,7.6248000000000005
68,12439.0,1158.18,2,2010-01-26 12:11:00,318,0,11.581800000000001
71,12443.0,485.31,1,2009-12-07 15:42:00,368,0,4.8531
80,12459.0,454.36,1,2010-04-13 14:53:00,241,0,4.5436000000000005
82,12466.0,56.73,1,2010-01-26 16:26:00,318,0,0.5672999999999999
86,12470.0,211.95,1,2010-01-19 11:01:00,325,0,2.1195
98,12485.0,708.1,1,2010-06-28 15:22:00,165,0,7.081
100,12487.0,285.29999999999995,1,2009-12-09 11:36:00,366,0,2.8529999999999998
104,12495.0,357.4,1,2010-03-09 10:53:00,276,0,3.574
105,12496.0,54.09,2,2010-03-29 14:06:00,256,0,0.5409
107,12499.0,393.72,1,2010-05-28 15:12:00,196,0,3.9372000000000003
109,12503.0,1126.0,1,2010-05-04 13:59:00,220,0,11.26
112,12507.0,539.25,1,2010-05-04 09:23:00,220,0,5.3925
115,12514.0,580.08,1,2010-03-08 12:18:00,277,0,5.800800000000001
122,12529.0,316.48,1,2010-06-29 13:10:00,164,0,3.1648
124,12531.0,1807.98,1,2010-01-22 14:17:00,322,0,18.0798
125,12533.0,1367.89,2,2010-03-22 10:56:00,263,0,13.6789
136,12555.0,129.23,1,2010-01-26 16:26:00,318,0,1.2923
141,12568.0,70.0,1,2010-03-05 09:15:00,280,0,0.7
142,12570.0,77.52,1,2010-01-26 17:28:00,318,0,0.7752
