,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
118,12523.0,2582.38,12,2010-11-30 12:31:00,10,5,25.823800000000002
160,12600.0,2444.88,12,2010-12-03 12:57:00,7,5,24.448800000000002
317,12841.0,3518.33,17,2010-12-05 12:15:00,5,5,35.1833
499,13082.0,3722.12,12,2010-10-11 14:19:00,60,5,37.221199999999996
529,13117.0,1658.8999999999999,12,2010-12-09 14:50:00,1,5,16.589
609,13230.0,3553.81,17,2010-12-09 19:28:00,1,5,35.5381
636,13269.0,3545.47,14,2010-12-05 11:51:00,5,5,35.454699999999995
788,13491.0,3350.7400000000002,18,2010-12-02 14:30:00,8,5,33.507400000000004
844,13571.0,2454.2200000000003,14,2010-11-22 13:09:00,18,5,24.5422
1128,13963.0,2347.33,14,2010-12-07 09:21:00,3,5,23.4733
1202,14060.0,3378.66,13,2010-12-08 12:40:00,2,5,33.7866
1414,14344.0,2443.77,14,2010-12-07 10:51:00,3,5,24.4377
1595,14590.0,3006.62,20,2010-10-11 12:06:00,60,5,30.0662
1683,14702.0,3462.08,13,2010-12-09 19:23:00,1,5,34.6208
1773,14825.0,2698.17,13,2010-12-06 12:30:00,4,5,26.9817
1797,14852.0,3310.4900000000002,12,2010-10-11 14:46:00,60,5,33.1049
1807,14867.0,2241.78,13,2010-11-09 10:31:00,31,5,22.417800000000003
1818,14878.0,2619.7000000000003,16,2010-11-28 14:13:00,12,5,26.197000000000003
1820,14882.0,3038.4500000000003,12,2010-11-14 13:04:00,26,5,30.384500000000003
1919,15015.0,2365.02,13,2010-07-26 13:50:00,137,5,23.650199999999998
1999,15129.0,3412.78,12,2010-11-19 11:48:00,21,5,34.1278
2282,15527.0,3145.86,15,2010-11-10 12:13:00,30,5,31.4586
2342,15611.0,1405.83,13,2010-11-21 11:35:00,19,5,14.0583
2495,15827.0,1957.98,16,2010-12-02 13:08:00,8,5,19.5798
2537,15885.0,1572.47,12,2010-11-21 11:40:00,19,5,15.7247
2637,16011.0,2517.75,14,2010-12-08 16:34:00,2,5,25.1775
2893,16351.0,3176.13,12,2010-10-24 11:21:00,47,5,31.761300000000002
2894,16353.0,3323.75,16,2010-12-05 12:09:00,5,5,33.2375
2962,16444.0,3001.91,13,2010-11-14 10:21:00,26,5,30.019099999999998
2973,16458.0,2232.6,12,2010-11-29 12:42:00,11,5,22.326
2997,16497.0,3729.59,17,2010-10-22 11:00:00,49,5,37.2959
3067,16592.0,3694.23,12,2010-11-29 15:19:00,11,5,36.9423
3173,16742.0,2387.71,13,2010-08-04 10:52:00,128,5,23.8771
3268,16883.0,2119.86,18,2010-12-03 10:33:00,7,5,21.198600000000003
3298,16919.0,2529.46,14,2010-12-06 12:52:00,4,5,25.2946
3305,16928.0,1265.63,13,2010-12-01 15:21:00,9,5,12.656300000000002
3542,17241.0,2744.14,12,2010-11-19 13:01:00,21,5,27.441399999999998
3578,17287.0,3047.85,16,2010-12-07 12:43:00,3,5,30.4785
3626,17346.0,2646.44,12,2010-12-01 14:34:00,9,5,26.4644
3648,17372.0,3034.88,20,2010-11-23 11:12:00,17,5,30.3488
3671,17402.0,2462.33,12,2010-12-05 15:06:00,5,5,24.6233
3711,17460.0,1605.8400000000001,12,2010-12-02 15:14:00,8,5,16.058400000000002
3717,17469.0,3180.28,12,2010-11-04 17:38:00,36,5,31.8028
3825,17612.0,3346.41,12,2010-11-25 19:41:00,15,5,33.4641
3930,17757.0,3817.16,28,2010-12-06 13:41:00,4,5,38.1716
3996,17848.0,2749.7,21,2010-10-18 16:38:00,53,5,27.497
4026,17884.0,2355.44,18,2010-12-06 15:13:00,4,5,23.5544
4028,17888.0,1094.39,17,2010-11-30 16:17:00,10,5,10.943900000000001
4042,17913.0,3068.04,12,2010-11-04 19:12:00,36,5,30.6804
4058,17931.0,3028.93,12,2010-11-07 12:36:00,33,5,30.289299999999997
4077,17961.0,1699.1,62,2010-12-02 19:18:00,8,5,16.991
4085,17969.0,2141.7400000000002,18,2010-07-25 13:08:00,138,5,21.4174
4088,17975.0,2540.02,12,2010-12-08 11:38:00,2,5,25.400199999999998
4158,18065.0,3473.8,15,2010-11-16 10:05:00,24,5,34.738
4190,18109.0,1840.99,13,2010-12-05 10:58:00,5,5,18.4099
4279,18245.0,3757.92,13,2010-11-25 16:52:00,15,5,37.5792
