,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
3,12349.0,2671.14,3,2010-10-28 08:23:00,43,2,26.711399999999998
8,12356.0,3562.25,3,2010-11-24 12:24:00,16,2,35.6225
10,12358.0,2719.01,3,2010-11-29 10:56:00,11,2,27.1901
11,12359.0,2563.36,6,2010-10-10 11:16:00,61,2,25.6336
32,12391.0,2312.53,5,2010-09-01 12:38:00,100,2,23.125300000000003
42,12406.0,2975.06,3,2010-11-05 11:42:00,35,2,29.7506
52,12417.0,3167.81,11,2010-10-25 14:27:00,46,2,31.6781
62,12429.0,3735.51,5,2010-12-09 12:05:00,1,2,37.3551
75,12451.0,3634.36,3,2010-09-02 15:38:00,99,2,36.3436
77,12455.0,3413.09,4,2010-09-20 14:39:00,81,2,34.130900000000004
84,12468.0,2941.2,3,2010-07-01 10:28:00,162,2,29.412
85,12469.0,3070.54,2,2010-07-05 12:40:00,158,2,30.7054
96,12483.0,2635.6,11,2010-11-26 12:35:00,14,2,26.355999999999998
108,12500.0,1697.39,8,2010-09-30 18:45:00,71,2,16.9739
123,12530.0,2096.98,5,2010-10-20 15:15:00,51,2,20.9698
165,12609.0,2309.01,6,2010-11-30 14:48:00,10,2,23.090100000000003
166,12613.0,3490.69,5,2010-11-16 17:17:00,24,2,34.9069
167,12615.0,3449.79,4,2010-10-22 09:45:00,49,2,34.4979
171,12623.0,3442.7400000000002,6,2010-10-19 09:35:00,52,2,34.427400000000006
174,12631.0,2841.07,5,2010-09-09 14:50:00,92,2,28.410700000000002
176,12633.0,3514.18,3,2010-11-22 13:09:00,18,2,35.141799999999996
195,12662.0,3138.2400000000002,10,2010-12-01 13:04:00,9,2,31.382400000000004
225,12708.0,2601.19,9,2010-12-06 10:43:00,4,2,26.0119
228,12712.0,2797.53,10,2010-12-09 11:39:00,1,2,27.9753
231,12720.0,2478.94,6,2010-12-05 15:21:00,5,2,24.7894
242,12737.0,3710.5,2,2010-07-29 12:29:00,134,2,37.105
252,12749.0,2806.48,4,2010-11-05 13:56:00,35,2,28.0648
256,12759.0,3489.3,5,2010-11-18 19:14:00,22,2,34.893
261,12766.0,3078.65,3,2010-12-08 13:53:00,2,2,30.7865
272,12779.0,2740.91,7,2010-12-03 13:40:00,7,2,27.4091
274,12782.0,2287.32,6,2010-11-30 11:37:00,10,2,22.8732
291,12802.0,1988.84,6,2010-09-23 10:23:00,78,2,19.8884
295,12806.0,2878.96,4,2010-09-30 13:34:00,71,2,28.7896
304,12820.0,1747.18,7,2010-11-07 14:26:00,33,2,17.4718
314,12838.0,2715.35,9,2010-12-01 11:57:00,9,2,27.153499999999998
330,12857.0,2581.6,4,2010-09-29 16:49:00,72,2,25.816
336,12863.0,2271.35,5,2010-11-25 17:47:00,15,2,22.7135
345,12872.0,3085.52,11,2010-12-09 14:44:00,1,2,30.8552
350,12877.0,1419.4,8,2010-11-03 13:53:00,37,2,14.194
367,12910.0,2721.48,5,2010-11-25 12:27:00,15,2,27.2148
373,12917.0,3765.2,5,2010-11-04 15:56:00,36,2,37.652
378,12924.0,1535.7,8,2010-11-11 15:21:00,29,2,15.357000000000001
382,12928.0,2242.19,7,2010-11-26 15:53:00,14,2,22.4219
384,12932.0,1698.56,8,2010-06-18 14:22:00,175,2,16.985599999999998
387,12935.0,2083.16,8,2010-11-29 13:55:00,11,2,20.831599999999998
398,12951.0,2149.65,9,2010-11-18 12:11:00,22,2,21.4965
416,12975.0,2100.09,6,2010-09-29 09:46:00,72,2,21.0009
417,12976.0,2417.7799999999997,7,2010-11-26 14:51:00,14,2,24.177799999999998
419,12978.0,2502.82,5,2010-11-19 14:29:00,21,2,25.028200000000002
422,12982.0,2354.27,7,2010-11-10 08:50:00,30,2,23.5427
424,12986.0,2729.84,10,2010-10-07 11:57:00,64,2,27.2984
447,13015.0,3240.14,6,2010-09-27 10:39:00,74,2,32.401399999999995
448,13018.0,2485.46,7,2010-10-22 13:11:00,49,2,24.8546
451,13021.0,2270.86,8,2010-11-30 13:31:00,10,2,22.7086
460,13031.0,3419.27,5,2010-10-28 15:34:00,43,2,34.1927
461,13032.0,1833.37,7,2010-11-12 12:49:00,28,2,18.3337
466,13037.0,3033.88,9,2010-11-05 10:39:00,35,2,30.338800000000003
474,13048.0,2248.3,5,2010-09-29 13:49:00,72,2,22.483
478,13052.0,2820.38,6,2010-10-15 14:47:00,56,2,28.2038
483,13059.0,2119.77,9,2010-10-22 16:11:00,49,2,21.1977
494,13077.0,2335.4,8,2010-12-08 14:59:00,2,2,23.354
502,13085.0,2017.2,6,2010-01-29 11:42:00,315,2,20.172
509,13092.0,1662.45,7,2010-10-21 13:02:00,50,2,16.6245
520,13107.0,3721.45,5,2010-10-22 10:35:00,49,2,37.2145
528,13115.0,3199.92,6,2010-11-25 18:49:00,15,2,31.999200000000002
535,13126.0,1898.6100000000001,7,2010-12-08 11:43:00,2,2,18.9861
542,13136.0,3666.9500000000003,8,2010-11-29 12:43:00,11,2,36.6695
554,13152.0,2146.38,7,2010-10-18 13:44:00,53,2,21.463800000000003
570,13173.0,2285.7,10,2010-12-07 14:30:00,3,2,22.857
578,13183.0,3078.4,6,2010-11-10 13:49:00,30,2,30.784000000000002
590,13202.0,1580.3,7,2010-11-10 16:24:00,30,2,15.802999999999999
597,13209.0,2617.9,5,2010-07-13 15:50:00,150,2,26.179000000000002
598,13211.0,1531.9,7,2010-11-23 15:17:00,17,2,15.319
599,13213.0,2330.94,6,2010-11-21 14:34:00,19,2,23.3094
600,13214.0,3264.23,7,2010-10-18 10:00:00,53,2,32.6423
634,13266.0,2300.78,7,2010-10-22 12:13:00,49,2,23.007800000000003
653,13291.0,2959.73,10,2010-10-21 19:01:00,50,2,29.5973
665,13305.0,1753.85,7,2010-12-02 12:10:00,8,2,17.5385
672,13313.0,1890.0,7,2010-08-17 11:45:00,115,2,18.9
678,13324.0,3391.52,8,2010-10-07 12:44:00,64,2,33.9152
690,13357.0,3228.41,4,2010-08-02 14:02:00,130,2,32.284099999999995
709,13384.0,2528.9,4,2010-11-14 13:13:00,26,2,25.289
735,13421.0,2252.04,6,2010-10-29 17:17:00,42,2,22.5204
742,13431.0,2047.14,6,2010-10-29 14:09:00,42,2,20.471400000000003
757,13450.0,2076.32,7,2010-11-30 13:20:00,10,2,20.7632
766,13461.0,2715.0,3,2010-10-28 17:53:00,43,2,27.15
768,13464.0,2422.96,5,2010-11-10 12:24:00,30,2,24.2296
